Name,LastLogonDate,DistinguishedName
PRB-1878,5/13/2022 20:51,"CN=PRB-1878,OU=Computers,OU=DCProbation,DC=co,DC=yakima,DC=wa,DC=us"
PS-CE-L2248,11/9/2021 14:56,"CN=PS-CE-L2248,OU=CE,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-CE-L2293,5/17/2021 15:10,"CN=PS-CE-L2293,OU=CE,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-RM-IMG,3/21/2022 8:14,"CN=PS-RM-IMG,OU=RM,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-ROW-2332L,5/10/2022 6:30,"CN=PS-ROW-2332L,OU=ROW,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-SH-L2342,6/22/2021 11:52,"CN=PS-SH-L2342,OU=Computers,OU=Human Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-SH-L2812,5/12/2022 13:38,"CN=PS-SH-L2812,OU=SH,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-SW-BACKUP,2/9/2022 14:40,"CN=PS-SW-BACKUP,OU=NO Applocker,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-SW-CONF,7/4/2022 16:14,"CN=PS-SW-CONF,OU=Computers,OU=Solid Waste,DC=co,DC=yakima,DC=wa,DC=us"
PS-SW-N2460,10/2/2021 10:05,"CN=PS-SW-N2460,OU=Computers,OU=Solid Waste,DC=co,DC=yakima,DC=wa,DC=us"
PS-SW-S2459,12/11/2020 12:11,"CN=PS-SW-S2459,OU=ADM,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-SW-S2460,12/11/2020 11:48,"CN=PS-SW-S2460,OU=ADM,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
PS-SW-SH-SRVR,2/19/2018 5:47,"CN=PS-SW-SH-SRVR,OU=Computers,OU=Solid Waste,DC=co,DC=yakima,DC=wa,DC=us"
PS-TRA-L2317,5/4/2022 9:19,"CN=PS-TRA-L2317,OU=TRA,OU=Win7-WIN10,OU=Computers,OU=Public Services,DC=co,DC=yakima,DC=wa,DC=us"
SC-ADM-2733,6/13/2020 14:54,"CN=SC-ADM-2733,OU=Computers,OU=Superior Court,DC=co,DC=yakima,DC=wa,DC=us"
SCCM-TEST02,4/6/2022 16:34,"CN=SCCM-TEST02,OU=Computers,OU=SCCM-testing,DC=co,DC=yakima,DC=wa,DC=us"
SCCM-TEST03,1/25/2022 14:05,"CN=SCCM-TEST03,OU=Computers,OU=SCCM-testing,DC=co,DC=yakima,DC=wa,DC=us"
SCCM-TEST04,1/25/2022 14:25,"CN=SCCM-TEST04,OU=Computers,OU=SCCM-testing,DC=co,DC=yakima,DC=wa,DC=us"
SCCM-TEST05,6/29/2022 17:27,"CN=SCCM-TEST05,OU=Computers,OU=SCCM-testing,DC=co,DC=yakima,DC=wa,DC=us"
SCCM-TEST2,6/15/2020 14:28,"CN=SCCM-TEST2,OU=Windows 7 and 10,OU=Computers,OU=Technology Services,DC=co,DC=yakima,DC=wa,DC=us"
SC-FC-1888,7/15/2022 8:38,"CN=SC-FC-1888,OU=Computers,OU=Superior Court,DC=co,DC=yakima,DC=wa,DC=us"
SC-FC-L1896,8/24/2021 12:36,"CN=SC-FC-L1896,OU=Computers,OU=Superior Court,DC=co,DC=yakima,DC=wa,DC=us"
SC-LSPARE,10/18/2021 11:43,"CN=SC-LSPARE,OU=Computers,OU=Superior Court,DC=co,DC=yakima,DC=wa,DC=us"
SC-L-SPARE,6/18/2020 17:35,"CN=SC-L-SPARE,OU=Computers,OU=Superior Court,DC=co,DC=yakima,DC=wa,DC=us"
SC-L-XTRA,6/18/2020 8:37,"CN=SC-L-XTRA,OU=Computers,OU=Superior Court,DC=co,DC=yakima,DC=wa,DC=us"
SCOM-REC1-OLD,9/25/2021 10:09,"CN=SCOM-REC1-OLD,CN=Computers,DC=co,DC=yakima,DC=wa,DC=us"
SC-XTRA-L,7/11/2022 15:32,"CN=SC-XTRA-L,OU=Computers,OU=Superior Court,DC=co,DC=yakima,DC=wa,DC=us"
SHF-CAR-WESR,10/12/2021 8:59,"CN=SHF-CAR-WESR,OU=Win10 Patrols,OU=Windows 10,OU=Computers,OU=Sheriffs,DC=co,DC=yakima,DC=wa,DC=us"
